"(PDH-CSV 4.0) (China Standard Time)(-480)","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\current bandwidth","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes total/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes received/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes sent/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\output queue length","\\dcnds0005337\memory\available bytes","\\dcnds0005337\memory\committed bytes","\\dcnds0005337\memory\commit limit","\\dcnds0005337\memory\% committed bytes in use","\\dcnds0005337\memory\page faults/sec","\\dcnds0005337\memory\pages/sec","\\dcnds0005337\memory\page reads/sec","\\dcnds0005337\memory\page writes/sec","\\dcnds0005337\memory\pool paged bytes","\\dcnds0005337\memory\pool nonpaged bytes","\\dcnds0005337\processor(_total)\% privileged time","\\dcnds0005337\processor(_total)\% processor time","\\dcnds0005337\processor(_total)\% user time"
"03/31/2016 23:10:44.938","10000000000","4972.044920964664","3504.8841246144352","1467.1607963502288","0","5946126336","7563681792","26082009088","28.9996133598464","193.8322190300099","0","0","0","768425984","123092992","0.77527038548630234","2.315305248799171","0.77527038548630234"
"03/31/2016 23:10:45.944","10000000000","3072.4439746153107","2669.8752881969349","402.56868641837622","0","5946126336","7563792384","26082009088","29.000037376261801","136.1775556526359","0","0","0","768425984","123121664","0","0.76475453846265307","1.550550710336521"
"03/31/2016 23:10:46.950","10000000000","4884.265082603617","3445.0270200049122","1439.2380625987053","0","5946130432","7564857344","26082009088","29.004120497299013","3223.3764067732054","0","0","0","768425984","123101184","4.6516521310095627","10.068058800481783","4.6516521310095627"
"03/31/2016 23:10:47.957","10000000000","2665.0790050954242","2426.7708973372642","238.30810775816013","0","5946150912","7563689984","26082009088","28.999644768469761","324.6947968204932","0","0","0","768425984","123097088","0","1.6311292466856031","2.3236789600811254"
"03/31/2016 23:10:48.963","10000000000","2146.1100339143036","1660.0295306331113","486.08050328119248","0","5947277312","7562960896","26082009088","28.996849400990438","19275.229118866264","0","0","0","768425984","123072512","6.2023982651685188","25.571220817977782","18.607194795505556"
"03/31/2016 23:10:49.969","10000000000","5287.8503983629926","3530.5347020649156","1757.3156962980772","0","5947392000","7563075584","26082009088","28.997289121717522","507.91194615855062","0","0","0","768425984","123068416","3.1011014206730421","6.9669573798087363","4.6516521310095627"
"03/31/2016 23:10:50.976","10000000000","8156.7495462398037","4648.9297620964617","3507.8197841433425","0","5947371520","7564791808","26082009088","29.003869228312112","556.63901363566788","0","0","0","768425984","123076608","1.550550710336521","5.4164066694722184","3.1011014206730421"
"03/31/2016 23:10:51.982","10000000000","7734.8506707662109","4419.0627193814671","3315.7879513847442","0","5947629568","7563509760","26082009088","28.998953778755769","542.69191290649587","0","0","0","768425984","123097088","0.7752803248502188","6.1916869943224313","6.2022028413460841"
"03/31/2016 23:10:52.988","10000000000","7120.9948876743565","4230.4514575575186","2890.5434301168384","0","5947629568","7564263424","26082009088","29.001843372105185","186.87144596353701","0","0","0","768425984","123064320","0.77527038548630234","6.1916770549585216","4.6516521310095627"
"03/31/2016 23:10:53.996","10000000000","6434.3910363754403","3394.7712190065922","3039.6198173688481","0","5947834368","7563800576","26082009088","29.000068784885162","936.48861213974953","0","0","0","768409600","123076608","6.189896883327541","8.6990209709187809","3.0949484416637705"
"03/31/2016 23:10:55.002","10000000000","19136.765201840539","4582.1683675523236","14554.596834288215","0","5947834368","7565524992","26082009088","29.006680300103117","599.35955002907838","0","0","0","768409600","123056128","1.550550710336521","10.843339125331998","8.5280239371689071"
